Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.700363,1499.642142,1668.35152,1825.783424,1955.521444,2112.330851,2228.645322,2347.969878,2468.427024,2637.516976,2710.776229,2923.476871,3211.222078,3444.105914,3660.445001,3968.933542,4313.171394,5178.813183,5466.317807,5805.761962,6504.347934,7090.948277,7697.506415,7785.214064,8462.798599,9303.945982,10275.16059,10986.88814,11503.84721,12297.62073,11137.831,12036.36408,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5817.927639,6280.197285,6424.048002,6511.805282,6702.913544,7134.362509,7501.264593,8076.12621,8023.186325,8733.650018,8922.18535,8964.661185,9478.370607,9936.89142,10298.09379,10907.14135,11957.32781,12739.03914,13136.16904,11119.57606,12139.49853,12976.26068,12069.46877,12833.27836,14338.57408,13420.5066,15277.04232,14656.77299,15321.7802,15759.16223,14303.93611,16449.34623,18323.0457
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.1773245,632.0159695,585.9525806,582.8728009,605.1552947,644.3679787,613.6512745,639.2801578,658.4702554,672.8071176,652.3937607,681.3600112,701.3401453,660.417846,703.377201,715.7262427,757.6183289,798.8360794,813.8320694,870.4223047,902.7815842,945.5931285,1024.247563,683.9656325,670.1038234,733.7495807,787.4711684,839.6000095,875.1937178,898.3153199,895.2514772,924.1514243,967.2683238
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20229.75587,20224.68733,20626.20206,21440.04699,22632.83409,23485.64193,24050.17501,25258.86056,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,49832.40538,47226.36514,53023.42056,58399.54548
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7097.37311,6651.248239,6692.466029,6961.173782,7400.695023,7996.037736,8402.104598,8706.263574,9097.382662,9396.468918,10016.49843,10800.39853,11630.61621,12340.95283,13483.57484,14312.60484,15919.49383,17761.80525,19673.54394,19701.19962,20823.37258,22309.098,23107.00157,23859.90579,24926.9054,26134.61122,27753.50007,29830.04786,32011.75576,34957.24874,34847.14048,37716.76375,42799.33029
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28462.62285,28793.54075,29114.08095,29496.77493,30266.95066,30843.41449,31508.76135,32733.99362,33858.67211,34742.63186,36697.62804,37819.01436,38704.95846,38737.12724,40175.64457,41524.84887,46272.85795,50924.37295,53808.78411,52973.46324,54438.9787,57493.58106,59440.91586,61656.46617,63417.04372,65265.04573,67350.75187,68193.50549,70688.81875,72668.74711,70810.82069,75979.76622,83598.45336
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437.05553,4872.139956,5533.63296,6026.750351,6473.88719,7250.189152,7959.486182,8581.435036,8927.836315,8921.984384,9468.318799,9876.226278,10239.38515,10820.67088,11735.17679,12685.02796,15676.58343,16875.71456,16550.44891,16118.37675,18104.7246,20330.5246,21584.68127,22425.58942,22779.42767,22691.48662,23492.28786,24546.91242,25564.53672,25600.1927,24941.23509,28337.07321,30208.80553
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.4192074,1093.566229,1262.025483,1454.491592,1660.34688,1860.525063,2060.8681,2266.728838,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730274,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779603,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15497.82574,16655.39936,17209.44295,19484.30809,21475.61053
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.253537,2744.91063,2698.279466,2657.932273,2640.380552,2787.38002,2952.262367,3180.317303,3242.547529,3227.520171,3202.951742,3121.727848,3007.357263,2852.020434,2952.041262,3005.998332,3116.371153,3166.671537,3310.47535,3379.412564,3577.706982,3384.930979,3483.689789,3801.616471,4254.230896,4579.85146,4693.675045,4836.048367,5060.59743,5350.010141,5377.394446,5866.495758,6538.29642
